year,weight_scenario,aggregation,no_increase,gw_0.5m,gw_1m
0,W10_linear,Cobb_Douglas_sigma_1,104.7138093093455,104.7138093093455,104.7138093093455
25,W10_linear,Cobb_Douglas_sigma_1,88.64649416523345,85.22831598091162,79.47560394655403
50,W10_linear,Cobb_Douglas_sigma_1,66.26371706953412,59.938840007623405,50.76058759401345
75,W10_linear,Cobb_Douglas_sigma_1,45.71775999031782,36.15264115897153,30.00813310893715
100,W10_linear,Cobb_Douglas_sigma_1,26.62146799976747,20.227722621189606,15.057938242765362
0,W1_linear,Cobb_Douglas_sigma_1,62.00127688447104,62.00127688447104,62.00127688447104
25,W1_linear,Cobb_Douglas_sigma_1,52.487784236169176,50.46387341252114,47.05767995980144
50,W1_linear,Cobb_Douglas_sigma_1,39.234892670987634,35.48991904657029,30.055455598385834
75,W1_linear,Cobb_Douglas_sigma_1,27.069586278956137,21.40605837364249,17.767881638006898
100,W1_linear,Cobb_Douglas_sigma_1,15.762629775491888,11.976879069251142,8.915838364173027
0,W2_linear,Cobb_Douglas_sigma_1,26.786439189070194,26.786439189070194,26.786439189070194
25,W2_linear,Cobb_Douglas_sigma_1,22.676320734989925,21.80192964296827,20.330350372794616
50,W2_linear,Cobb_Douglas_sigma_1,16.950668106068182,15.332725487853299,12.984871830721968
75,W2_linear,Cobb_Douglas_sigma_1,11.694885382532446,9.248068906253026,7.676265795330305
100,W2_linear,Cobb_Douglas_sigma_1,6.809935942573977,5.174376383588574,3.8519136082714445
0,W3_linear,Cobb_Douglas_sigma_1,43.739879710171486,43.739879710171486,43.739879710171486
25,W3_linear,Cobb_Douglas_sigma_1,37.028420769806566,35.600617659631396,33.19765921461187
50,W3_linear,Cobb_Douglas_sigma_1,27.678937791365268,25.03698097884668,21.20314417003658
75,W3_linear,Cobb_Douglas_sigma_1,19.096710699230805,15.101276383011694,12.534661294139198
100,W3_linear,Cobb_Douglas_sigma_1,11.120021472794292,8.449297758309944,6.289833325383251
0,W4_linear,Cobb_Douglas_sigma_1,30.412640320287462,30.412640320287462,30.412640320287462
25,W4_linear,Cobb_Douglas_sigma_1,25.74611658656464,24.753355227235907,23.082561631615164
50,W4_linear,Cobb_Douglas_sigma_1,19.245356527595796,17.40838571713021,14.742692517111962
75,W4_linear,Cobb_Douglas_sigma_1,13.27807478311912,10.500021720612674,8.71543653071902
100,W4_linear,Cobb_Douglas_sigma_1,7.731827696986598,5.874855060992211,4.373364532937999
0,W5_linear,Cobb_Douglas_sigma_1,28.977529216804644,28.977529216804644,28.977529216804644
25,W5_linear,Cobb_Douglas_sigma_1,24.531209317882183,23.585294363037818,21.99334214440544
50,W5_linear,Cobb_Douglas_sigma_1,18.33720700317538,16.586919137008916,14.047014617931776
75,W5_linear,Cobb_Douglas_sigma_1,12.651509238219088,10.004546891746527,8.304172674466749
100,W5_linear,Cobb_Douglas_sigma_1,7.366978356011765,5.597632510086033,4.166994289029561
0,W6_linear,Cobb_Douglas_sigma_1,26.872752696759207,26.872752696759207,26.872752696759207
25,W6_linear,Cobb_Douglas_sigma_1,22.749390274778428,21.872181646550803,20.395860530409678
50,W6_linear,Cobb_Douglas_sigma_1,17.00528796843884,15.382131880018674,13.026712772203258
75,W6_linear,Cobb_Douglas_sigma_1,11.732569621645467,9.277868808398068,7.701000901854598
100,W6_linear,Cobb_Douglas_sigma_1,6.831879488492573,5.191049692519945,3.8643255668934238
0,W7_linear,Cobb_Douglas_sigma_1,52.87301985794212,52.87301985794212,52.87301985794212
25,W7_linear,Cobb_Douglas_sigma_1,44.76016942988847,43.0342327629898,40.12952268095035
50,W7_linear,Cobb_Douglas_sigma_1,33.458460269822766,30.264847577293185,25.630483443978324
75,W7_linear,Cobb_Douglas_sigma_1,23.084214467718454,18.254510331759636,15.151971151019907
100,W7_linear,Cobb_Douglas_sigma_1,13.44194634387782,10.213560053684835,7.603186943351351
0,W8_linear,Cobb_Douglas_sigma_1,22.591579630683317,22.591579630683317,22.591579630683317
25,W8_linear,Cobb_Douglas_sigma_1,19.125121558690562,18.38766347983448,17.14653919189417
50,W8_linear,Cobb_Douglas_sigma_1,14.296128186675046,12.931561614788462,10.951390884297481
75,W8_linear,Cobb_Douglas_sigma_1,9.86342128292294,7.799785691967291,6.4741330028015165
100,W8_linear,Cobb_Douglas_sigma_1,5.743473742089899,4.3640491102179295,3.248689099642799
0,W9_linear,Cobb_Douglas_sigma_1,19.811513525253122,19.811513525253122,19.811513525253122
25,W9_linear,Cobb_Douglas_sigma_1,16.771629546324377,16.12492130624534,15.036526823919981
50,W9_linear,Cobb_Douglas_sigma_1,12.536880623628099,11.340234371485458,9.603738745648343
75,W9_linear,Cobb_Douglas_sigma_1,8.649652098098418,6.839962599189524,5.67744157983035
100,W9_linear,Cobb_Douglas_sigma_1,5.036695511490824,3.827019596917682,2.8489131388360995
