"Colkat","Familie","Genus","Art","Ref","xylobiont","Rote.Liste","Urwaldrelikt"
"01-.009-.008-.","Carabidae","Notiophilus","biguttatus","(Fabricius, 1779)","n","n","n"
"01-.021-.006-.","Carabidae","Trechus","quadristriatus","(Schrank, 1781)","n","n","n"
"01-.029-.010-.","Carabidae","Bembidion","lampros","(Herbst, 1784)","n","n","n"
"01-.029-.049-.","Carabidae","Bembidion","lunatum","(Duftschmid, 1812)","n","3","n"
"01-.029-.090-.","Carabidae","Bembidion","quadrimaculatum","(Linnaeus, 1760)","n","n","n"
"01-.029-.103-.","Carabidae","Bembidion","lunulatum","(Geoffroy, 1785)","n","n","n"
"01-.037-.001-.","Carabidae","Anisodactylus","bintatus","(Fabricius, 1787)","n","n","n"
"01-.038-.001-.","Carabidae","Diachromus","germanus","(Linnaeus, 1758)","n","n","n"
"01-.041-.020-.","Carabidae","Harpalus","signaticornis","(Duftschmid, 1812)","n","n","n"
"01-.041-.021-.","Carabidae","Harpalus","rufipes","(De Geer, 1774)","n","n","n"
"01-.041-.030-.","Carabidae","Harpalus","affinis","(Schrank, 1781)","n","n","n"
"01-.041-.031-.","Carabidae","Harpalus","distinguendus","(Duftschmid, 1812)","n","n","n"
"01-.042-.004-.","Carabidae","Stenlophus","mixtus","(Herbst, 1784)","n","n","n"
"01-.046-.002-.","Carabidae","Acupalpus","flavicollis","(Sturm, 1825)","n","n","n"
"01-.050-.007-.","Carabidae","Poecilus","cupreus","(Linnaeus, 1758)","n","n","n"
"01-.051-.011-.","Carabidae","Pterostichus","strenuus","(Panzer, 1796)","n","n","n"
"01-.051-.024-.","Carabidae","Pterostichus","oblongopunctatus","(Fabricius, 1787)","n","n","n"
"01-.0631.003-.","Carabidae","Limodromus","assimilis","(Paykull, 1790)","n","n","n"
"01-.0632.001-.","Carabidae","Paranchus","albipes","(Fabricius, 1796)","n","n","n"
"01-.065-.008-.","Carabidae","Amara","similata","(Gyllenhal, 1810)","n","n","n"
"01-.065-.009-.","Carabidae","Amara","ovata","(Fabricius, 1792)","n","n","n"
"01-.065-.013-.","Carabidae","Amara","convexior","Stephens, 1828","n","n","n"
"01-.065-.014-.","Carabidae","Amara","communis","(Panzer, 1797)","n","n","n"
"01-.065-.021-.","Carabidae","Amara","aenea","(De Geer, 1774)","n","n","n"
"01-.065-.022-.","Carabidae","Amara","eurynta","(Panzer, 1796)","n","n","n"
"01-.065-.026-.","Carabidae","Amara","familiaris","(Duftschmid, 1812)","n","n","n"
"01-.065-.036-.","Carabidae","Amara","bifrons","(Gyllenhal, 1810)","n","n","n"
"01-.076-.001-.","Carabidae","Demetrias","atricapillus","(Linnaeus, 1758)","n","n","n"
"01-.079-.004-.","Carabidae","Dromius","agilis","(Fabricius, 1787)","n","n","n"
"01-.079-.012-.","Carabidae","Dromius","quadrimaculatus","(Linnaeus, 1758)","n","n","n"
"01-.0791.001-.","Carabidae","Calodromius","spilotus","(Illiger, 1798)","n","n","n"
"01-.0792.002-.","Carabidae","Philorhizus","sigma","(Rossi, 1790)","n","n","n"
"01-.0793.001-.","Carabidae","Paradromius","longiceps","(Dejean, 1826)","n","R","n"
"01-.080-.002-.","Carabidae","Syntomus","foveatus","(Geoffroy, 1785)","n","n","n"
"01-.080-.004-.","Carabidae","Syntomus","truncatellus","(Linnaeus, 1760)","n","n","n"
"01-.086-.003-.","Carabidae","Brachinus","explodens","(Duftschmid, 1812)","n","D","n"
"03-.003-.005-.","Haliplidae","Haliplus","ruficollis","(De Geer, 1774)","n","n","n"
"04-.008-.009-.","Dytiscidae","Hydroporus","palustris","(Linnaeus, 1761)","n","n","n"
"09-.0011.027-.","Helophoridae","Helophorus","granularis","(Linnaeus, 1760)","n","n","n"
"09-.003-.011-.","Hydrophilidae","Cercyon","lateralis","(Marsham, 1802)","n","n","n"
"10-.002-.003-.","Histeridae","Plegaderus","caesus","(Herbst, 1791)","j","n","n"
"10-.005-.001-.","Histeridae","Abraeus","granulum","Erichson, 1839","j","3","n"
"10-.005-.003-.","Histeridae","Abraeus","perpusillus","(Marsham, 1802)","j","n","n"
"10-.007-.002-.","Histeridae","Acritus","minutus","(Herbst, 1791)","j","n","n"
"10-.0071.001-.","Histeridae","Aeletes","atomarius","(Aube, 1842)","j","1","n"
"10-.009-.001-.","Histeridae","Gnathoncus","rotundatus","(Kugelann, 1792)","n","n","n"
"10-.016-.001-.","Histeridae","Dendrophilus","punctatus","(Herbst, 1791)","j","n","n"
"10-.018-.001-.","Histeridae","Carcinps","pumilio","(Erichson, 1834)","n","n","n"
"10-.020-.001-.","Histeridae","Paromalus","flavicornis","(Herbst, 1791)","j","n","n"
"10-.020-.002-.","Histeridae","Paromalus","parallelepipedus","(Herbst, 1791)","j","n","n"
"10-.029-.008-.","Histeridae","Margarintus","striola","(Sahlberg, 1819)","n","n","n"
"10-.032-.003-.","Histeridae","Hister","unicolor","Linnaeus, 1758","n","n","n"
"12-.001-.004-.","Silphidae","Nicrophorus","investigator","Zetterstedt, 1824","n","n","n"
"12-.001-.005-.","Silphidae","Nicrophorus","interruptus","Stephens, 1830","n","n","n"
"12-.001-.006-.","Silphidae","Nicrophorus","vespilloides","Herbst, 1783","n","n","n"
"12-.001-.008-.","Silphidae","Nicrophorus","vespillo","(Linnaeus, 1758)","n","n","n"
"12-.004-.001-.","Silphidae","Oiceoptoma","thoracicum","(Linnaeus, 1758)","n","n","n"
"12-.006-.001-.","Silphidae","Dendroxena","quadrimaculata","(Scopoli, 1771)","n","n","n"
"12-.009-.001-.","Silphidae","Phosphuga","atrata","(Linnaeus, 1758)","n","n","n"
